File,Capacity,DP-BottomUp Avg Value,DP-BottomUp Avg Time (ms),DP-TopDown Avg Value,DP-TopDown Avg Time (ms),Greedy Avg Value,Greedy Avg Time (ms),GA Greedy Random Avg Value,GA Greedy Random within Time Avg Value,GA Greedy Random Avg Time (ms),GA Greedy Population Avg Value,GA Greedy Population Avg Time (ms)
testcase/knapsack_25_items.txt,1000,1575,0.125,1575,0.071,1575,0.002,1575,694,35.407,1575,38.312
testcase/knapsack_25_items.txt,2000,1575,0.231,1575,0.094,1575,0.002,1575,694,36.050,1575,32.172
testcase/knapsack_25_items.txt,4000,1575,0.428,1575,0.133,1575,0.002,1575,694,33.466,1575,32.635
testcase/knapsack_25_items.txt,8000,1575,0.989,1575,0.462,1575,0.002,1575,837,33.596,1575,32.759
testcase/knapsack_25_items.txt,10000,1575,1.256,1575,0.559,1575,0.002,1575,837,33.641,1575,33.505
testcase/knapsack_50_items.txt,1000,5464,0.206,5464,0.434,5453,0.004,5464,2733,57.366,5464,55.038
testcase/knapsack_50_items.txt,2000,5825,0.411,5825,0.495,5825,0.003,5825,2733,54.313,5825,50.360
testcase/knapsack_50_items.txt,4000,5825,0.903,5825,0.648,5825,0.006,5825,2941,52.994,5825,52.787
testcase/knapsack_50_items.txt,8000,5825,1.977,5825,1.476,5825,0.004,5825,2941,53.106,5825,52.781
testcase/knapsack_50_items.txt,10000,5825,2.510,5825,1.740,5825,0.004,5825,2941,53.560,5825,51.542
testcase/knapsack_100_items.txt,1000,10571,0.501,10571,1.572,10571,0.008,10571,7457,85.165,10571,83.577
testcase/knapsack_100_items.txt,2000,15878,0.927,15878,2.570,15865,0.008,15878,8846,92.698,15878,90.419
testcase/knapsack_100_items.txt,4000,21921,2.023,21921,4.296,21921,0.007,21921,11190,95.545,21921,96.757
testcase/knapsack_100_items.txt,8000,23030,4.880,23030,5.866,23030,0.007,23030,10948,90.905,23030,89.309
testcase/knapsack_100_items.txt,10000,23030,6.052,23030,6.635,23030,0.007,23030,10827,90.633,23030,90.900
testcase/knapsack_500_items.txt,1000,58060,2.502,58060,9.149,58060,0.046,58060,42699,355.489,58060,349.139
testcase/knapsack_500_items.txt,2000,78231,4.951,78231,18.533,77983,0.040,78231,65063,382.632,78231,381.162
testcase/knapsack_500_items.txt,4000,107336,10.135,107336,35.927,107257,0.038,107328,85424,534.733,107328,584.844
testcase/knapsack_500_items.txt,8000,148847,20.397,148847,68.256,148763,0.042,148837,125992,443.366,148831,396.216
testcase/knapsack_500_items.txt,10000,166188,25.894,166188,86.398,166175,0.041,166184,136585,393.024,166184,417.193
testcase/knapsack_1000_items.txt,1000,95220,4.146,95220,14.838,95193,0.089,95211,86998,849.426,95211,889.705
testcase/knapsack_1000_items.txt,2000,139035,9.799,139035,33.489,138692,0.090,138881,118579,684.815,138983,679.938
testcase/knapsack_1000_items.txt,4000,197773,20.847,197773,72.504,197182,0.089,197773,161379,697.078,197773,693.919
testcase/knapsack_1000_items.txt,8000,283421,38.532,283421,145.980,283272,0.087,283421,233887,1060.870,283421,788.794
testcase/knapsack_1000_items.txt,10000,318953,53.205,318953,192.236,318536,0.089,318914,261036,745.329,318928,711.442
